    44/119     3.12G   0.06107   0.03808         0   0.09914        28       640    0.1085     0.152   0.05462  0.009946   0.06597   0.02558         0
    45/119     3.12G   0.06133   0.03702         0   0.09835        17       640    0.1013    0.1703    0.0573   0.01082   0.06632    0.0256         0
    46/119     3.12G   0.06157   0.03783         0    0.0994        16       640   0.09478    0.1801   0.05412   0.01156   0.06376    0.0256         0
    47/119     3.12G   0.06199   0.03811         0    0.1001        24       640   0.08409    0.2267   0.05653    0.0133   0.06548   0.02564         0
    48/119     3.12G   0.06158   0.03819         0   0.09977        24       640    0.1348    0.1728   0.06993   0.01509   0.06285   0.02533         0
    49/119     3.12G   0.06105   0.03864         0   0.09969        35       640    0.1343    0.1777   0.07051   0.01517   0.06335   0.02514         0
    50/119     3.12G   0.06131   0.03859         0    0.0999        20       640    0.1042    0.1397    0.0495   0.00926   0.06532   0.02557         0
    51/119     3.12G   0.06033   0.03785         0   0.09818        20       640   0.06375     0.152   0.03009  0.005348   0.06936    0.0255         0
    52/119     3.12G    0.0601    0.0383         0   0.09841        34       640    0.1363    0.1998   0.07719    0.0175   0.06507   0.02529         0
    53/119     3.12G   0.05834   0.03833         0   0.09667        33       640    0.1266     0.223   0.07256   0.01494   0.06484   0.02543         0
    54/119     3.12G   0.05951    0.0399         0   0.09941        29       640    0.1173    0.1921   0.07416   0.01813   0.06575   0.02525         0
    55/119     3.12G   0.05848   0.03793         0   0.09641        26       640    0.1116    0.1532   0.06466   0.01508   0.06412   0.02518         0
    56/119     3.12G   0.05944   0.03819         0   0.09763        23       640   0.08647    0.2377   0.05042   0.01033   0.06342   0.02539         0
    57/119     3.12G   0.05859   0.03839         0   0.09698        17       640    0.1064    0.1422   0.05673   0.01176   0.06354    0.0253         0
    58/119     3.12G   0.05799   0.03713         0   0.09511        30       640    0.1041    0.2401   0.06055   0.01222   0.06324   0.02523         0
    59/119     3.12G   0.05829    0.0399         0    0.0982        25       640    0.1082    0.1912   0.05715   0.01178     0.066   0.02527         0
    60/119     3.12G   0.05739   0.03855         0   0.09594        33       640    0.1687    0.1446    0.0793   0.01874   0.06305   0.02522         0
    61/119     3.12G   0.05663   0.03692         0   0.09355        17       640     0.162     0.152   0.07786   0.01821   0.06213   0.02541         0
    62/119     3.12G   0.05759   0.03729         0   0.09489        29       640   0.09887    0.1777   0.05478   0.01142   0.06242   0.02529         0
    63/119     3.12G   0.05706    0.0373         0   0.09436        29       640    0.1537    0.2218   0.09464   0.02441   0.06153   0.02505         0
    64/119     3.12G   0.05668   0.03717         0   0.09385        25       640     0.141    0.1998    0.0833   0.01888   0.06316   0.02502         0
    65/119     3.12G   0.05661   0.03681         0   0.09342        29       640    0.1368    0.2525   0.09047   0.02346   0.06073   0.02507         0
    66/119     3.12G   0.05652   0.03865         0   0.09517        24       640    0.1081    0.2169   0.05878   0.01216    0.0639   0.02496         0
    67/119     3.12G   0.05635   0.03739         0   0.09374        31       640    0.1765    0.3015    0.1319   0.03281   0.06113    0.0249         0
    68/119     3.12G    0.0567    0.0385         0    0.0952        19       640    0.1919    0.2377     0.113   0.03004   0.06168   0.02505         0
    69/119     3.12G   0.05566   0.03809         0   0.09374        24       640    0.1541     0.223   0.09604   0.02367    0.0623   0.02492         0
    70/119     3.12G   0.05585   0.03712         0   0.09297        43       640    0.2602    0.2341    0.1495   0.03929   0.06294   0.02455         0
    71/119     3.12G   0.05524   0.03693         0   0.09218        32       640    0.2434    0.2835    0.1784   0.05137   0.06244   0.02434         0
    72/119     3.12G   0.05496   0.03643         0   0.09138        31       640    0.2025     0.201    0.1243   0.03262   0.06038   0.02499         0
    73/119     3.12G   0.05465   0.03756         0   0.09221        23       640    0.3022    0.2096    0.1691   0.04557   0.05967   0.02424         0
